Sulfur,TAN,Temperature,CR
0.2,0.3,450,1
0.2,0.3,500,3
0.2,0.3,550,7
0.2,0.3,600,15
0.2,0.3,650,20
0.2,0.3,700,35
0.2,0.3,750,50
0.2,0.65,450,5
0.2,0.65,500,15
0.2,0.65,550,25
0.2,0.65,600,35
0.2,0.65,650,45
0.2,0.65,700,55
0.2,0.65,750,65
0.2,1.5,450,20
0.2,1.5,500,25
0.2,1.5,550,35
0.2,1.5,600,65
0.2,1.5,650,120
0.2,1.5,700,150
0.2,1.5,750,180
0.2,3,450,30
0.2,3,500,60
0.2,3,550,60
0.2,3,600,120
0.2,3,650,150
0.2,3,700,160
0.2,3,750,240
0.2,4,450,40
0.2,4,500,80
0.2,4,550,100
0.2,4,600,160
0.2,4,650,180
0.2,4,700,200
0.2,4,750,280
0.4,0.3,450,1
0.4,0.3,500,4
0.4,0.3,550,10
0.4,0.3,600,20
0.4,0.3,650,30
0.4,0.3,700,50
0.4,0.3,750,70
0.4,0.65,450,5
0.4,0.65,500,10
0.4,0.65,550,15
0.4,0.65,600,25
0.4,0.65,650,40
0.4,0.65,700,60
0.4,0.65,750,80
0.4,1.5,450,8
0.4,1.5,500,15
0.4,1.5,550,25
0.4,1.5,600,35
0.4,1.5,650,50
0.4,1.5,700,75
0.4,1.5,750,90
0.4,3,450,10
0.4,3,500,20
0.4,3,550,35
0.4,3,600,50
0.4,3,650,70
0.4,3,700,100
0.4,3,750,120
0.4,4,450,20
0.4,4,500,30
0.4,4,550,50
0.4,4,600,70
0.4,4,650,90
0.4,4,700,120
0.4,4,750,140
0.6,0.3,450,1
0.6,0.3,500,5
0.6,0.3,550,10
0.6,0.3,600,25
0.6,0.3,650,40
0.6,0.3,700,60
0.6,0.3,750,90
0.6,0.65,450,5
0.6,0.65,500,10
0.6,0.65,550,15
0.6,0.65,600,30
0.6,0.65,650,50
0.6,0.65,700,80
0.6,0.65,750,110
0.6,1.5,450,10
0.6,1.5,500,15
0.6,1.5,550,30
0.6,1.5,600,50
0.6,1.5,650,80
0.6,1.5,700,100
0.6,1.5,750,130
0.6,3,450,15
0.6,3,500,30
0.6,3,550,50
0.6,3,600,80
0.6,3,650,100
0.6,3,700,120
0.6,3,750,140
0.6,4,450,25
0.6,4,500,40
0.6,4,550,60
0.6,4,600,100
0.6,4,650,120
0.6,4,700,150
0.6,4,750,180
1.5,0.3,450,2
1.5,0.3,500,5
1.5,0.3,550,15
1.5,0.3,600,30
1.5,0.3,650,50
1.5,0.3,700,80
1.5,0.3,750,110
1.5,0.65,450,7
1.5,0.65,500,10
1.5,0.65,550,20
1.5,0.65,600,35
1.5,0.65,650,55
1.5,0.65,700,100
1.5,0.65,750,130
1.5,1.5,450,15
1.5,1.5,500,20
1.5,1.5,550,35
1.5,1.5,600,55
1.5,1.5,650,100
1.5,1.5,700,120
1.5,1.5,750,140
1.5,3,450,20
1.5,3,500,30
1.5,3,550,55
1.5,3,600,85
1.5,3,650,110
1.5,3,700,150
1.5,3,750,170
1.5,4,450,30
1.5,4,500,45
1.5,4,550,75
1.5,4,600,120
1.5,4,650,140
1.5,4,700,180
1.5,4,750,200
2.5,0.3,450,2
2.5,0.3,500,7
2.5,0.3,550,20
2.5,0.3,600,35
2.5,0.3,650,55
2.5,0.3,700,95
2.5,0.3,750,130
2.5,0.65,450,7
2.5,0.65,500,10
2.5,0.65,550,30
2.5,0.65,600,45
2.5,0.65,650,60
2.5,0.65,700,120
2.5,0.65,750,140
2.5,1.5,450,15
2.5,1.5,500,20
2.5,1.5,550,40
2.5,1.5,600,60
2.5,1.5,650,75
2.5,1.5,700,140
2.5,1.5,750,170
2.5,3,450,20
2.5,3,500,35
2.5,3,550,60
2.5,3,600,90
2.5,3,650,120
2.5,3,700,170
2.5,3,750,200
2.5,4,450,35
2.5,4,500,50
2.5,4,550,80
2.5,4,600,120
2.5,4,650,150
2.5,4,700,200
2.5,4,750,260
3,0.3,450,2
3,0.3,500,8
3,0.3,550,20
3,0.3,600,40
3,0.3,650,60
3,0.3,700,100
3,0.3,750,140
3,0.65,450,8
3,0.65,500,15
3,0.65,550,25
3,0.65,600,45
3,0.65,650,65
3,0.65,700,120
3,0.65,750,150
3,1.5,450,20
3,1.5,500,25
3,1.5,550,35
3,1.5,600,65
3,1.5,650,120
3,1.5,700,150
3,1.5,750,180
3,3,450,30
3,3,500,60
3,3,550,60
3,3,600,120
3,3,650,150
3,3,700,160
3,3,750,240
3,4,450,40
3,4,500,80
3,4,550,100
3,4,600,160
3,4,650,180
3,4,700,200
3,4,750,280
