Sulfur,TAN,Temperature,CR
0.8,0.7,450,1
0.8,0.7,500,1
0.8,0.7,550,2
0.8,0.7,600,3
0.8,0.7,650,5
0.8,0.7,700,8
0.8,0.7,750,9
0.8,1.1,450,1
0.8,1.1,500,2
0.8,1.1,550,3
0.8,1.1,600,5
0.8,1.1,650,8
0.8,1.1,700,10
0.8,1.1,750,10
0.8,1.75,450,2
0.8,1.75,500,3
0.8,1.75,550,5
0.8,1.75,600,8
0.8,1.75,650,10
0.8,1.75,700,10
0.8,1.75,750,10
0.8,3,450,3
0.8,3,500,5
0.8,3,550,8
0.8,3,600,10
0.8,3,650,10
0.8,3,700,15
0.8,3,750,15
0.8,4,450,5
0.8,4,500,6
0.8,4,550,10
0.8,4,600,10
0.8,4,650,15
0.8,4,700,15
0.8,4,750,20
0.4,0.7,450,1
0.4,0.7,500,1
0.4,0.7,550,2
0.4,0.7,600,3
0.4,0.7,650,4
0.4,0.7,700,6
0.4,0.7,750,7
0.4,1.1,450,1
0.4,1.1,500,1
0.4,1.1,550,2
0.4,1.1,600,4
0.4,1.1,650,5
0.4,1.1,700,7
0.4,1.1,750,8
0.4,1.75,450,2
0.4,1.75,500,2
0.4,1.75,550,3
0.4,1.75,600,5
0.4,1.75,650,6
0.4,1.75,700,8
0.4,1.75,750,10
0.4,3,450,3
0.4,3,500,3
0.4,3,550,5
0.4,3,600,8
0.4,3,650,10
0.4,3,700,10
0.4,3,750,12
0.4,4,450,4
0.4,4,500,5
0.4,4,550,8
0.4,4,600,10
0.4,4,650,10
0.4,4,700,12
0.4,4,750,15
0.2,0.7,450,1
0.2,0.7,500,1
0.2,0.7,550,1
0.2,0.7,600,2
0.2,0.7,650,3
0.2,0.7,700,4
0.2,0.7,750,5
0.2,1.1,450,1
0.2,1.1,500,2
0.2,1.1,550,2
0.2,1.1,600,4
0.2,1.1,650,4
0.2,1.1,700,5
0.2,1.1,750,6
0.2,1.75,450,2
0.2,1.75,500,4
0.2,1.75,550,5
0.2,1.75,600,8
0.2,1.75,650,10
0.2,1.75,700,15
0.2,1.75,750,15
0.2,3,450,3
0.2,3,500,6
0.2,3,550,10
0.2,3,600,12
0.2,3,650,15
0.2,3,700,20
0.2,3,750,20
0.2,4,450,5
0.2,4,500,8
0.2,4,550,12
0.2,4,600,15
0.2,4,650,20
0.2,4,700,25
0.2,4,750,30
2.5,0.7,450,1
2.5,0.7,500,1
2.5,0.7,550,3
2.5,0.7,600,5
2.5,0.7,650,7
2.5,0.7,700,10
2.5,0.7,750,15
2.5,1.1,450,1
2.5,1.1,500,2
2.5,1.1,550,4
2.5,1.1,600,6
2.5,1.1,650,8
2.5,1.1,700,10
2.5,1.1,750,15
2.5,1.75,450,2
2.5,1.75,500,4
2.5,1.75,550,5
2.5,1.75,600,8
2.5,1.75,650,10
2.5,1.75,700,15
2.5,1.75,750,15
2.5,3,450,3
2.5,3,500,6
2.5,3,550,10
2.5,3,600,12
2.5,3,650,15
2.5,3,700,20
2.5,3,750,20
2.5,4,450,5
2.5,4,500,8
2.5,4,550,12
2.5,4,600,15
2.5,4,650,20
2.5,4,700,30
2.5,4,750,30
1.5,0.7,450,1
1.5,0.7,500,1
1.5,0.7,550,2
1.5,0.7,600,4
1.5,0.7,650,6
1.5,0.7,700,10
1.5,0.7,750,10
1.5,1.1,450,1
1.5,1.1,500,2
1.5,1.1,550,3
1.5,1.1,600,5
1.5,1.1,650,7
1.5,1.1,700,10
1.5,1.1,750,15
1.5,1.75,450,2
1.5,1.75,500,4
1.5,1.75,550,4
1.5,1.75,600,6
1.5,1.75,650,8
1.5,1.75,700,12
1.5,1.75,750,15
1.5,3,450,3
1.5,3,500,4
1.5,3,550,5
1.5,3,600,8
1.5,3,650,10
1.5,3,700,15
1.5,3,750,20
1.5,4,450,5
1.5,4,500,6
1.5,4,550,10
1.5,4,600,12
1.5,4,650,15
1.5,4,700,20
1.5,4,750,20
3,0.7,450,1
3,0.7,500,1
3,0.7,550,3
3,0.7,600,5
3,0.7,650,8
3,0.7,700,10
3,0.7,750,15
3,1.1,450,1
3,1.1,500,3
3,1.1,550,5
3,1.1,600,8
3,1.1,650,10
3,1.1,700,15
3,1.1,750,15
3,1.75,450,3
3,1.75,500,5
3,1.75,550,8
3,1.75,600,12
3,1.75,650,15
3,1.75,700,20
3,1.75,750,20
3,3,450,5
3,3,500,8
3,3,550,12
3,3,600,15
3,3,650,20
3,3,700,25
3,3,750,30
3,4,450,7
3,4,500,9
3,4,550,15
3,4,600,20
3,4,650,25
3,4,700,30
3,4,750,35
